IsMeta,URL,Key,Value
false,https://anonfiles.com:443,sle,true
false,https://www.aquatanks.net:443,google_experiment_mod37,977
false,https://www.aquatanks.net:443,goog_pem_mod,48
false,https://www.aquatanks.net:443,google_experiment_mod36,869
false,https://www.aquatanks.net:443,google_experiment_mod50,22
false,https://www.aquatanks.net:443,google_experiment_mod34,310
false,https://www.aquatanks.net:443,google_experiment_mod47,251
false,https://www.aquatanks.net:443,google_experiment_mod49,770
false,https://www.aquatanks.net:443,google_experiment_mod44,252
false,https://vatboxuae.com:443,at-rand,0.7741105000951495
false,https://vatboxuae.com:443,at-lojson-cache-ra-5ef1ed244691891e,"{""pc"":""shin"",""subscription"":{""active"":true,""edition"":""BASIC"",""tier"":""basic"",""reducedBranding"":false,""insightsEnabled"":false},""customMessageTemplates"":[],""config"":{""_default"":{""widgets"":{""shin"":{""countsFontSize"":""60px"",""hideEmailSharingConfirmation"":false,""counts"":""one"",""widgetId"":""4fk0"",""shareCountThreshold"":0,""originalServices"":""facebook_like,tweet,pinterest_pinit,counter"",""services"":""facebook,twitter,pinterest_share,linkedin,whatsapp"",""label"":""SHARES"",""__hideOnHomepage"":false,""numPreferredServices"":5,""borderRadius"":""26px"",""size"":""32px"",""titleFontSize"":""18px"",""elements"":"".addthis_inline_share_toolbox"",""responsive"":""979px"",""creationTimestamp"":1595071057778,""iconColor"":""#FFFFFF"",""counterColor"":""#666666"",""hideDevice"":""none"",""style"":""responsive"",""id"":""shin"",""hideLabel"":true,""toolName"":""Inline""}}}},""perConfig"":{}}"
false,https://vatboxuae.com:443,_at.hist.0917,"{""m"":600,""k"":2,""l"":{""0"":286,""1"":308},""b"":{""0"":1073741824,""1"":64,""2"":0,""3"":0,""4"":2097156,""5"":0,""6"":268435456,""7"":512,""8"":1073750024,""9"":1048576,""10"":8,""11"":65536,""12"":16777216,""13"":67108864,""14"":4098,""15"":1073741824,""16"":1073745920,""17"":0,""18"":0}}"
false,https://vatboxuae.com:443,_at.cww,"{""value"":true,""expires"":1600424496763}"
false,https://vatboxuae.com:443,_at.hist.0918,"{""m"":600,""k"":2,""l"":{""0"":121,""1"":183},""b"":{""0"":0,""1"":0,""2"":0,""3"":34603008,""4"":16384,""5"":8388608,""6"":268435456,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0,""12"":0,""13"":67108864,""14"":0,""15"":0,""16"":0,""17"":32,""18"":2048}}"
false,https://www.egypttoplight.net:443,twk_563258321fb9ffad1f820c74,vsa8.tawk.to::0
false,https://www.google.com:443,rc::a,cfi2mht8djxi
false,https://www.step.ae:443,twk_5d3d8f4b9b94cd38bbe9aff9,vsa115.tawk.to::0
false,https://addons.thunderbird.net:443,visitor-seen_impala_first_visit,1
false,https://www.google.com:443,sb_wiz.qc,5
false,http://wijhatnadhar.org:80,google_experiment_mod47,720
false,http://wijhatnadhar.org:80,google_experiment_mod50,578
false,http://wijhatnadhar.org:80,google_experiment_mod44,549
false,http://wijhatnadhar.org:80,google_experiment_mod34,364
false,http://wijhatnadhar.org:80,google_experiment_mod51,819
false,http://wijhatnadhar.org:80,google_experiment_mod37,382
false,http://wijhatnadhar.org:80,google_experiment_mod36,188
false,http://wijhatnadhar.org:80,goog_pem_mod,868
false,http://wijhatnadhar.org:80,google_adsense_settings,"{""ca-pub-7888111388301494"":[""ca-pub-7888111388301494"",[],[]]}"
false,http://wijhatnadhar.org:80,google_ama_settings,"[1601200177135,true,null,null,[]]"
false,https://disqus.com:443,submitted_posts_cache,{}
false,https://disqus.com:443,drafts.queue,[]
false,https://disqus.com:443,aet-dismiss,{}
